場次,局數,背號,棒次,結果,打點,得分,盜壘,盜壘失敗,得點圈,備註
G05,6,7,11,1B,0,0,0,0,,
G05,6,5,1,K,0,0,0,0,,
G05,7,1,2,BB,0,0,1,0,,
G05,7,28,3,BB,0,0,0,0,,
G05,7,11,4,FO,0,0,0,0,Y,
G05,7,8,5,SH,0,0,0,0,Y,
G05,7,17,6,FC,0,0,0,0,Y,
G06,1,23,1,BB,0,1,0,0,,
G06,1,8,2,GO,0,0,0,0,,
G06,1,28,3,FO,0,0,0,0,,
G06,1,1,4,SF,1,0,0,0,,
G06,2,14,5,FC,0,0,0,0,,
G06,2,9,6,1B,0,0,0,0,,
G06,2,5,7,K,0,0,0,0,Y,
G06,2,21,8,GO,0,0,0,0,Y,
G06,3,11,9,FO,0,0,0,0,,
G06,3,17,10,FC,0,0,0,0,,
G06,3,23,1,FC,0,0,0,0,,
G06,4,8,2,GO,0,0,0,0,,
G06,4,28,3,2B,0,1,0,0,,
G06,4,1,4,HR,2,1,0,0,,
G06,4,14,5,GO,0,0,0,0,,
G06,4,9,6,GO,0,0,0,0,,
G06,5,5,7,K,0,0,0,0,,
G06,5,21,8,K,0,0,0,0,,
G06,5,11,9,BB,0,0,0,0,,
G06,5,17,10,GO,0,0,0,0,,
G06,6,23,1,FO,0,0,0,0,,
G06,6,8,2,GO,0,0,0,0,,
G06,6,28,3,BB,0,0,0,0,,
G06,6,1,4,SH,0,0,0,0,,
G06,7,14,5,FO,0,0,0,0,,
G06,7,9,6,1B,0,0,0,0,,
G06,7,5,7,DP,0,0,0,0,,
G07,1,21,1,FO,0,0,0,0,,
G07,1,7,2,1B,0,0,0,0,,
G07,1,8,3,GO,0,0,0,0,,
G07,1,23,4,FC,0,0,0,0,,
G07,2,14,5,GO,0,0,0,0,,
G07,2,28,6,BB,0,0,1,0,,
G07,2,17,7,GO,0,0,0,0,,
G07,2,3,8,GO,0,0,0,0,,
G07,3,5,9,FO,0,0,0,0,,
G07,3,1,10,GO,0,0,0,0,,
G07,3,9,11,HBP,0,0,0,0,,
G07,3,21,1,GO,0,0,0,0,,
G07,4,7,2,FO,0,0,0,0,,
G07,4,8,3,LO,0,0,0,0,,
G07,4,23,4,E,0,0,1,0,,
G07,4,14,5,FO,0,0,0,0,,
G07,5,28,6,1B,0,0,0,0,,
G07,5,17,7,GO,0,0,0,0,,
G07,5,3,8,1B,0,0,0,0,,
G07,5,5,9,K,0,0,0,0,Y,
G07,5,1,10,1B,0,0,0,0,Y,
G07,5,9,11,K,0,0,0,0,Y,
G07,6,21,1,GO,0,0,0,0,,
G07,6,7,2,1B,0,1,0,0,,
G07,6,8,3,GO,0,0,0,0,,
G07,6,23,4,1B,0,1,0,0,,
G07,6,14,5,HR,3,1,0,0,Y,
G07,6,28,6,GO,0,0,0,0,,
G07,7,17,7,BB,0,0,0,0,,
G07,7,3,8,1B,0,0,0,0,,
G07,7,5,9,GO,0,0,0,0,Y,
G07,7,1,10,GO,0,0,0,0,Y,
G07,7,9,11,FC,0,0,0,0,Y,
G08,1,11,1,SF,0,0,0,0,,
G08,1,17,2,1B,0,0,0,0,,
G08,1,3,3,1B,0,0,0,0,,
G08,1,9,4,FC,0,0,0,0,Y,
G08,1,28,5,SH,0,0,0,0,Y,
G08,2,23,6,1B,0,0,0,0,,
G08,2,5,7,SH,0,0,0,0,,
G08,2,1,8,BB,0,0,0,0,,
G08,2,8,9,K,0,0,0,0,Y,
G08,2,21,10,BB,0,0,0,0,,
G08,2,11,1,SH,0,0,1,0,Y,
G08,3,17,2,K,0,0,0,0,,
G08,3,3,3,1B,0,0,0,0,,
G08,3,9,4,GO,0,0,0,0,,
G08,3,28,5,K,0,0,0,0,,
G08,4,23,6,SH,0,0,0,0,,
G08,4,5,7,LO,0,0,0,0,,
G08,4,1,8,GO,0,0,0,0,,
G08,5,8,9,FC,0,0,0,0,,
G08,5,21,10,1B,0,0,0,0,,
G08,5,11,1,DP,0,0,0,0,Y,
G08,6,17,2,K,0,0,0,0,,
G08,6,3,3,GO,0,0,0,0,,
G08,6,9,4,LO,0,0,0,0,,
G08,7,28,5,FO,0,0,0,0,,
G08,7,23,6,1B,0,0,0,0,,
G08,7,5,7,LO,0,0,0,0,,
G08,7,1,8,GO,0,0,0,0,,
G09,1,3,1,GO,0,0,0,0,,
G09,1,8,2,DP,0,0,0,0,,
G09,2,14,3,DP,0,0,0,0,,
G09,2,5,4,SF,0,0,0,0,,
G09,3,21,5,1B,0,1,0,0,,
G09,3,11,6,1B,0,0,1,0,,
G09,3,7,7,GO,0,0,0,0,Y,
G09,3,1,8,BB,0,0,0,0,,
G09,3,9,9,1B,0,0,0,0,Y,
G09,3,23,10,BB,0,0,0,0,,
G09,3,3,1,FO,0,0,0,0,Y,
G09,3,8,2,GO,0,0,0,0,Y,
G09,4,14,3,DP,0,0,0,0,,
G09,4,5,4,K,0,0,0,0,,
G09,5,21,5,LO,0,0,0,0,,
G09,5,11,6,3B,0,1,0,0,,
G09,5,7,7,2B,1,0,0,0,,
G09,5,1,8,FC,0,0,0,0,,
G09,5,9,9,K,0,0,0,0,,
G09,6,23,10,BB,0,1,0,0,,
G09,6,3,1,LO,0,0,0,0,,
G09,6,8,2,HR,2,1,0,0,,
G09,6,14,3,GO,0,0,0,0,,
G09,6,5,4,GO,0,0,0,0,,
G09,7,21,5,GO,0,0,0,0,,
G09,7,11,6,GO,0,0,0,0,,
G09,7,7,7,E,0,1,0,0,,
G09,7,1,8,1B,0,0,0,0,,
G09,7,9,9,SF,1,0,0,0,Y,
